,0
CNTD144,583
CNTD360,575
RSQR360,510
RSQR720,505
STOCHEMAD144,496
RSQR1440,494
CORRETHV24,483
CNTN144,477
RSQR4320,459
RSQR144,449
CNTD720,447
RSQR2160,445
RSQR72,444
CNTN72,442
RSQR4760,432
CORRBTCVV144,430
STOCHEMAD72,428
RSQR24,425
STOCHEMAD360,420
IMXD144,417
CORRETHV72,416
CNTP144,414
CORRBTCV144,413
CORR144,412
RSQR52,411
RSQR6200,406
CORD24,405
CNTD1440,405
STOCHEMAD720,404
STOCHEMA144,402
CORRETHV36,402
RSQR36,402
STOCHEMAD4,401
RSQR2880,401
CORD72,400
CORRBTCV360,399
CORRBTCV24,399
IMXD72,399
CNTD52,397
CNTP72,396
CORD9080,396
CORRBTCV72,395
CORD14,395
CORRBTCV1440,394
STOCHEMA72,394
STOCHEMAD52,392
RSQR7640,387
IMAX720,387
RSQR9080,386
CORRETHV52,384
CORRETHVV144,384
CORRBTCV720,383
CORRBTCV36,383
CORRBTCVV24,383
WVMA144,377
IMXD36,373
STOCHEMAD1440,373
CORD36,372
CNTD9080,372
STOCHEMAD2880,371
IMAX2880,371
CORRETHV360,371
CORD52,369
STOCHEMAD5,369
CORRETHVV24,367
CNTN360,367
CORR720,366
CNTN720,365
STOCHEMAD14,365
CORR360,364
CORR14,362
STOCHEMAD2160,362
CORRETHV144,361
CNTD2160,361
STOCHEMA24,359
CORRBTCV52,358
IMXD360,357
CORR36,355
CNTD24,354
STOCHEMAD36,350
CNTD3600,348
CORRETHVV36,347
CORRBTCVV52,345
CORRBTCV14,345
CORD7640,343
STOCHEMA360,342
IMAX1440,342
CNTD72,341
CORRBTCVV72,341
CORD144,338
RSQR14,336
STOCHEMAD3,336
CNTP360,335
CORD1440,335
CORR72,335
CNTD6200,334
IMXD720,331
CORRBTCVV14,329
STOCHEMA1440,328
CNTD4320,328
STOCHEMAD3600,327
CORRBTCVV360,327
IMIN9080,326
CORRETHV1440,325
CORRBTCVV36,324
STOCHEMAD6,321
STOCHEMAD10,321
CORRETHVV52,321
CORRETHVV72,321
IMIN2880,320
STOCHEMA36,318
STOCHEMA720,318
IMAX2160,317
CORD720,317
IMIN4760,316
CORRETHVV14,315
WVMA14,315
RSQR3600,315
CORRETHV14,314
CORRBTCV2160,313
IMIN2160,312
IMIN4320,312
WVMA36,310
WVMA10,310
CNTD36,309
WVMA72,309
CORRBTCVV720,308
CORRETHV720,308
CNTD7640,308
WVMA8,307
IMXD52,306
IMIN1440,304
IMAX4760,304
CNTN36,302
IMAX7640,301
CORRETHVV720,301
CORRETHVV360,300
RSQR5,300
CNTN52,300
CNTP720,300
RSQR4,299
STOCHEMAD24,299
CNTD4760,298
CNTD2880,298
CORR24,298
CORRETHV10,296
IMAX9080,295
STOCHEMA52,294
STOCHEMAD2,294
CORRBTC144,293
CORRBTCV9080,293
CORD2160,292
CORR1440,292
CORR52,291
IMIN7640,291
STOCHEMAD4320,291
STOCHEMA9080,290
CORR3,290
CORRBTCV10,290
STOCHEMAD9,290
CORRBTCVV10,288
CORD3600,287
CORRBTCV3600,287
CORR9,285
IMIN6200,285
CORRBTCV7640,285
RSI2,284
STD144,284
RESI144,283
CORD360,283
STOCHEMAD9080,283
RSQR10,283
CORRBTC360,281
RSQR9,281
CORD7,280
CNTP52,279
CORRBTC24,279
CORD6200,278
WVMA52,278
RSQR6,278
WVMA360,278
WVMA7,275
IMXD24,274
IMIN3600,274
CORRBTCV2880,272
CORRETHV2160,272
IMIN720,271
RSQR8,271
STOCH360,271
CORRETHVV8,270
WVMA24,269
CORR10,269
STOCHEMAD8,269
WVMA6,268
STD24,268
CORRETHVV10,267
RESI360,267
STOCHEMAD6200,266
WVMA9,266
CNTP36,265
