,0
RSQR7640,28
CORRBTCV6200,28
RSQR720,27
STOCHEMAD360,27
STOCHEMAD4320,25
CNTD720,24
STOCHEMA72,23
CORRBTCVV6200,23
RSQR2880,22
RSQR6200,21
CORRBTCVV720,21
STOCHEMA144,20
CORRETHV3600,20
RESI1440,20
CORD720,20
DELETH52,19
RSI360,19
IMXD2160,19
RSQR1440,17
WVMA24,16
CORRBTCV7640,16
CORRETHVV144,16
STD2160,16
STOCHEMAD9080,15
WVMA72,15
CNTD3600,15
CORRETH2160,15
CORRETH4760,14
CORRBTCV9080,14
SLPETH52,14
CORRBTC2160,14
RSQR2160,13
CORRETHVV720,12
STOCHEMA360,12
DELETH144,12
BETA360,12
CNTD12400,12
BETA144,12
STOCHEMAD720,12
RSQR144,12
CORRETHV4320,12
SLPETH360,12
CORRETHV4760,11
ROC12400,11
CORRBTCVV52,11
CORRETH360,11
SLPETH36,11
CORRETH14,11
STD24800,11
STOCHEMA24,11
QTLD360,11
CORRETH4320,11
STD1440,10
CORRETH7640,10
IMIN2160,10
DELETH19600,10
RSV720,10
STOCHEMAD3600,10
CORRBTC360,10
STD144,10
CNTP24800,10
CNTD2160,10
CORRBTCV72,10
CORRBTCV144,10
CORRBTC4760,10
RESI720,9
SLPETH72,9
WVMA12400,9
CORD52,9
CORRETHV6200,9
CNTD9080,9
CORRBTC7640,9
DELBTC24800,9
RESI72,9
WVMA14,9
IMXD1440,9
BETA24800,8
CORR7640,8
RSI1440,8
CORRETHV720,8
CORRETHV19600,8
SLPETH3600,8
CORRETH3600,8
CNTN72,8
RESI2880,8
ROC360,8
CORRETH144,8
SLPBTC360,8
STOCHEMAD1440,8
MA24,8
QTLD144,8
MA144,8
CORD1440,8
IMIN1440,8
MA72,8
STOCHEMA6200,7
IMXD6200,7
RESI19600,7
CORRETHVV4320,7
BOLU52,7
WVMA24800,7
RSQR9080,7
CNTP19600,7
CORRBTCV720,7
QTLU720,7
CORRBTCVV1440,7
DELETH720,7
CORRETH6200,7
STOCHEMAD7640,7
CORRBTCVV10,7
WVMA9080,7
BOLD144,7
SLPETH720,7
ROC7640,7
CORRETHV2880,7
CORRETHV24,7
SLPBTC24800,7
CORRETHV2160,7
CORRETHV1440,7
RSI6200,7
CNTD7640,7
STD4320,7
CORRBTC52,7
STOCHEMAD36,7
RESI2160,6
MINGE9080,6
DELBTC1440,6
CORRETHV7640,6
CORRETH24800,6
DELBTC9080,6
CORRBTC4320,6
RSV360,6
RESI144,6
CORR9080,6
CORRBTCV4320,6
RSV19600,6
IMIN720,6
IMXD144,6
DELETH1440,6
MA360,6
CORRETHV144,6
RSQR12400,6
CNTD4760,6
CNTD6200,6
STOCHEMAD4760,6
CORRBTCV2160,6
IMXD72,6
CORRBTCVV8,6
CNTP360,6
MINCGE12400,6
CORRBTCVV144,6
CORD360,6
IMXD7640,6
SLPBTC72,6
SLPETH144,6
CORR2160,5
STOCH6200,5
CORRBTCVV36,5
QTLD14,5
IMXD2880,5
CORRBTCV24,5
MINCGE720,5
STOCHEMA4760,5
CORRBTCV360,5
STOCHEMA720,5
STOCHEMA52,5
CORRBTCV1440,5
CORRBTCVV360,5
MINCGE72,5
CORRBTCV24800,5
SLPETH1440,5
CORRBTC144,5
CORRBTC2880,5
MINGE12400,5
BETA12400,5
CNTP144,5
STOCHEMAD72,5
CORD6200,5
IMXD720,5
STOCH72,5
CORRETHV9080,5
CNTD2880,5
SLPBTC2880,5
CORRETHV52,5
CORR3600,5
IMAX144,5
CORR144,5
CORRBTCV36,5
DELBTC6200,5
BOLD4760,5
ROC3600,5
IMIN7640,5
WVMA144,5
SLPETH4760,5
CNTD24800,5
MACDs,5
STOCHEMAD12400,5
MIN7640,5
CORD36,5
MIN12400,5
SLPETH2880,5
WVMA6200,5
CORRETH2880,5
CNTN144,5
WVMA19600,5
STOCHEMA14,5
CORD8,4
CORRBTCVV12400,4
CNTP12400,4
IMIN12400,4
CORRBTCVV4320,4
DELBTC72,4
CNTP720,4
CNTD4320,4
BETA720,4
ROC19600,4
RSQR360,4
BOLU4320,4
CORRETHV360,4
SLPBTC2160,4
CORRBTC1440,4
RESI3600,4
CORRBTC36,4
SLPBTC1440,4
CORRBTC14,4
SUMP144,4
SLPBTC720,4
CORD10,4
CNTD1440,4
CNTP2160,4
CORRBTC12400,4
RSV5,4
QTLU72,4
QTLU144,4
DELETH36,4
CORR72,4
CNTD19600,4
CORR36,4
CORRETH720,4
RSI3600,4
QTLU360,4
CORRBTCVV72,4
DELETH72,4
CORD4760,4
CORRETHVV4760,4
IMIN3600,4
STD360,4
CORD72,4
CORRBTCV3600,4
BOLD12400,4
CORRBTCV4760,4
STOCHEMA7640,4
CORRETH1440,4
CORRETHVV6200,4
ROC144,4
IMAX1440,4
SUMN52,4
MINGE4760,3
ROC6200,3
CORRETHVV24,3
CORRBTCVV19600,3
SUMD52,3
MA52,3
CORRETHVV12400,3
STD720,3
CORRETHVV2880,3
STOCHEMAD2160,3
